"Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"SLC 121 Skoyo","Fox",2021-12-07 07:45:38,2021-12-07,"07:45:38",0,0,0,0,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0002.AVI",1
"SLC 121 Skoyo","Fox",2021-12-07 11:17:36,2021-12-07,"11:17:36",12718,212,3.5,0.1,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0003.AVI",1
"SLC 121 Skoyo","Fox",2021-12-19 11:41:02,2021-12-19,"11:41:02",1038206,17303.4,288.4,12,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0005.AVI",1
"SLC 121 Skoyo","Fox",2021-12-29 13:20:46,2021-12-29,"13:20:46",869984,14499.7,241.7,10.1,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0007.AVI",1
"SLC 121 Skoyo","Fox",2022-01-01 07:40:22,2022-01-01,"07:40:22",238776,3979.6,66.3,2.8,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0008.AVI",1
"SLC 121 Skoyo","Fox",2022-01-21 09:35:24,2022-01-21,"09:35:24",1734902,28915,481.9,20.1,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0009.AVI",1
"SLC 121 Skoyo","Fox",2022-01-22 06:07:56,2022-01-22,"06:07:56",73952,1232.5,20.5,0.9,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0010.AVI",1
"SLC 121 Skoyo","Fox",2022-01-26 10:53:02,2022-01-26,"10:53:02",362706,6045.1,100.8,4.2,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0012.AVI",1
"SLC 121 Skoyo","Fox",2022-01-27 12:38:48,2022-01-27,"12:38:48",92746,1545.8,25.8,1.1,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0013.AVI",1
"SLC 121 Skoyo","Fox",2022-02-02 14:25:50,2022-02-02,"14:25:50",524822,8747,145.8,6.1,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0014.AVI",1
"SLC 121 Skoyo","Fox",2022-02-27 10:56:30,2022-02-27,"10:56:30",2147440,35790.7,596.5,24.9,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0017.AVI",1
"SLC 121 Skoyo","Fox",2022-04-05 12:26:32,2022-04-05,"12:26:32",3202202,53370,889.5,37.1,"Data-21-22/SLC 121 Skoyo/Fox","IMG_0019.AVI",1
"SLC 121 Skoyo","Markhor",2022-04-14 23:20:02,2022-04-14,"23:20:02",0,0,0,0,"Data-21-22/SLC 121 Skoyo/Markhor","IMG_0020.AVI",3
"SLC 121 Skoyo","Snow Leopard",2021-12-29 02:01:54,2021-12-29,"02:01:54",0,0,0,0,"Data-21-22/SLC 121 Skoyo/Snow Leopard","IMG_0006.AVI",1
"SLC 121 Skoyo","Snow Leopard",2022-01-25 15:38:04,2022-01-25,"15:38:04",2381770,39696.2,661.6,27.6,"Data-21-22/SLC 121 Skoyo/Snow Leopard","IMG_0011.AVI",1
"SLC 121 Skoyo","Snow Leopard",2022-02-12 15:41:34,2022-02-12,"15:41:34",1555410,25923.5,432.1,18,"Data-21-22/SLC 121 Skoyo/Snow Leopard","IMG_0015.AVI",1
